"","X","File_Name","Day","Lane","gRNA","System","Coverage","p.uncut","div","Mean_length","Diversity","Indels","Replicate"
"85",85,"D8_8238",8,8238,"g5","Cas9",21412,0.678077713,11.87866617,24.07196899,0.0527325772887866,0.420175626472478,"Replicate1"
"86",86,"D9_8238",8,8238,"g6","BE3",224,0.477678571,-3.991071429,26.80357143,0.23563484708063,1.09230769230769,"Replicate1"
"87",87,"E01_8467",32,8467,"g5","Cas9",5783,0.445789383,1.000345841,22.41552827,0.131769639535003,1.32168443124236,"Replicate2"
"88",88,"E01_8468",4,8468,"g5","BE3",17855,0.635564268,5.149033884,23.98695043,0.0828535935164741,0.47627783723182,"Replicate2"
"89",89,"E02_8227",0,8227,"g4","BE3",9568,0.934573579,19.48076923,24.99853679,0.00846933728981207,0.000809279741030483,"Replicate1"
"90",90,"E02_8467",32,8467,"g5","BE3",6072,0.837944664,14.90447958,24.79314888,0.0285840363542677,0.134377038486628,"Replicate2"
"91",91,"E02_8468",4,8468,"g5","Cas9",18448,0.791196878,14.51051605,24.35711188,0.0364197823280712,0.295651298570566,"Replicate2"
"92",92,"E03_8227",2,8227,"g3","Cas9",3012,0.631142098,9.294820717,24.60590969,0.062759372336412,0.236603462489695,"Replicate1"
"93",93,"E03_8467",2,8467,"g5","Cas9",12797,0.85973275,16.89286552,24.62334922,0.0200188004717305,0.149307740717432,"Replicate2"
"94",94,"E03_8468",10,8468,"g5","BE3",13437,0.602441021,9.943514177,23.78775024,0.0714129860155206,0.531350370060047,"Replicate2"
"95",95,"E04_8227",2,8227,"g5","BE3",3327,0.80613165,15.72046889,24.56387136,0.0307064587198516,0.210227272727273,"Replicate1"
"96",96,"E04_8467",2,8467,"g5","BE3",8398,0.810311979,15.68968802,24.49964277,0.0299777126739755,0.218004465859678,"Replicate2"
"97",97,"E04_8468",10,8468,"g5","Cas9",19141,0.681469098,11.60759626,23.94984588,0.0564077712101905,0.490452941460821,"Replicate2"
"98",98,"E05_8467",25,8467,"g5","Cas9",14995,0.465155052,2.163387796,22.51537179,0.124484569447337,1.27796383121232,"Replicate2"
"99",99,"E06_8227",4,8227,"g3","BE3",2031,0.447070409,3.875923191,23.07483998,0.114784699954191,1.21216216216216,"Replicate1"
"100",100,"E06_8467",25,8467,"g5","BE3",6513,0.966528481,19.36480884,24.960694,0.0047232866945905,0.0282283218964442,"Replicate2"
"101",101,"E06_8468",18,8468,"g5","Cas9",13368,0.50216936,4.352109515,22.89048474,0.110947081535317,1.10195273807839,"Replicate2"
"102",102,"E07_8467",25,8467,"g1","Cas9",8331,0.073340535,-14.79078142,20.160725,0.238981382491214,2.68578993821712,"Replicate2"
"103",103,"E07_8468",18,8468,"g7","Cas9",1492,0.084450402,5.113941019,26.90214477,0.0901569949038303,0.636708860759494,"Replicate2"
"104",104,"E09_8227",4,8227,"g7","BE3",1423,0.837666901,20.94869993,29.51159522,0.0296212973378328,0.242125984251968,"Replicate1"
"105",105,"E10_8238",18,8238,"g6","Cas9",272,0.338235294,-28.70220588,24.21691176,0.262385844748858,1.21232876712329,"Replicate1"
"106",106,"E11_8238",18,8238,"g5","BE3",23478,0.542337507,3.135445949,24.11201976,0.0978055783496654,0.536976735062184,"Replicate1"
"107",107,"E12_8238",4,8238,"g4","Cas9",57017,0.12406826,-3.735920866,22.35333322,0.143935263732345,1.0823005932762,"Replicate1"
